term_slug,term_name,category,difficulty,definition_short,definition_long,formula,example_scenario,related_terms,search_volume_monthly
gross-margin,Gross Margin,Metrics,Beginner,"Revenue minus cost of goods sold, expressed as a percentage","Gross margin measures profitability after direct costs. It shows how much revenue is retained after accounting for the direct costs of producing goods or services.","Gross Margin % = (Revenue - COGS) ÷ Revenue × 100","A company has $1M revenue and $400K COGS. Gross Margin = ($1M - $400K) ÷ $1M × 100 = 60%.","revenue, cogs, operating-margin, contribution-margin",780
operating-margin,Operating Margin,Metrics,Intermediate,"Operating income divided by revenue","Operating margin measures profitability from core operations, excluding financing and tax effects. It shows efficiency in converting revenue to operating profit.","Operating Margin % = Operating Income ÷ Revenue × 100","A company has $1M revenue, $600K operating income. Operating Margin = $600K ÷ $1M × 100 = 60%.","ebitda, gross-margin, net-margin, operating-income",650
net-retention,Net Revenue Retention,Metrics,Advanced,"The percentage of recurring revenue retained from existing customers","Net revenue retention (NRR) measures revenue from existing customers including expansions, contractions, and churn. NRR over 100% indicates expansion revenue exceeds lost revenue.","NRR = (Starting ARR + Expansion - Contraction - Churn) ÷ Starting ARR × 100","Starting with $1M ARR: +$200K expansion, -$50K downgrades, -$100K churn. NRR = ($1M + $200K - $50K - $100K) ÷ $1M = 105%.","arr, churn-rate, expansion-revenue, customer-retention",480
churn-rate,Churn Rate,Metrics,Beginner,"The percentage of customers or revenue lost in a period","Churn rate measures customer or revenue attrition. It's critical for subscription businesses to understand retention and predict future revenue.","Churn Rate = Customers Lost ÷ Starting Customers × 100","A company started with 1,000 customers, lost 50. Churn rate = 50 ÷ 1,000 × 100 = 5%.","retention-rate, net-retention, ltv, arr",720
working-capital,Working Capital,Metrics,Intermediate,"Current assets minus current liabilities","Working capital measures short-term liquidity and operational efficiency. Positive working capital indicates ability to cover short-term obligations.","Working Capital = Current Assets - Current Liabilities","A company has $500K in current assets and $300K in current liabilities. Working Capital = $500K - $300K = $200K.","cash-conversion-cycle, days-sales-outstanding, current-ratio",590
days-sales-outstanding,Days Sales Outstanding (DSO),Metrics,Intermediate,"Average days to collect payment after a sale","DSO measures how quickly a company collects payment from customers. Lower DSO indicates better cash collection efficiency.","DSO = (Accounts Receivable ÷ Revenue) × Days in Period","A company has $100K A/R and $1M quarterly revenue. DSO = ($100K ÷ $1M) × 90 = 9 days.","cash-conversion-cycle, working-capital, accounts-receivable",440
three-statement-model,Three Statement Model,Financial Modeling,Intermediate,"Integrated model linking income statement, balance sheet, and cash flow","A three statement model connects the three core financial statements with formulas, showing how changes in one statement flow through to others. It's fundamental for financial forecasting.","N/A - Framework","Changes in revenue affect income statement, which flows to cash flow statement, which updates cash on balance sheet, which affects interest expense.","financial-model, cash-flow-statement, balance-sheet, income-statement",520
scenario-planning,Scenario Planning,Forecasting,Advanced,"Creating multiple forecasts based on different assumptions","Scenario planning involves developing multiple financial projections (base, upside, downside) to prepare for different business outcomes and strategic decisions.","N/A - Framework","A SaaS company models three scenarios: Base (20% growth), Upside (35% growth), Downside (10% growth) to prepare for different market conditions.","rolling-forecast, sensitivity-analysis, financial-planning",390
sensitivity-analysis,Sensitivity Analysis,Analysis,Advanced,"Testing how changes in variables impact outcomes","Sensitivity analysis examines how different values of independent variables affect a dependent variable. It helps identify which assumptions most impact financial results.","N/A - Framework","Analyzing how a 1% change in churn rate affects LTV. If 5% churn gives $1,600 LTV, what does 6% churn give? ($1,333 LTV).","scenario-planning, variance-analysis, financial-modeling",350
budget,Budget,Planning,Beginner,"A financial plan for a defined period","A budget is a detailed financial plan outlining expected revenues and expenses for a future period. It serves as a target and control mechanism for financial performance.","N/A - Framework","A company creates an annual budget with $10M revenue target, $4M COGS, $3M operating expenses, targeting $3M EBITDA.","forecast, variance-analysis, financial-planning, annual-planning",890
forecast,Forecast,Forecasting,Beginner,"A prediction of future financial performance","A forecast is a projection of future revenues, expenses, and cash flows based on historical data and assumptions. Unlike budgets, forecasts are updated regularly.","N/A - Framework","Based on Q1-Q2 actuals of $1.5M and growth trends, the company forecasts Q3 revenue at $850K.","rolling-forecast, budget, scenario-planning, financial-planning",680
kpi,KPI (Key Performance Indicator),Metrics,Beginner,"A measurable value demonstrating business performance","KPIs are quantifiable metrics that reflect success in achieving key business objectives. They vary by industry and company stage.","N/A - Varies by KPI","For a SaaS company, KPIs include ARR growth rate, net revenue retention, CAC payback period, and gross margin.","metrics, arr, mrr, financial-performance",1100
contribution-margin,Contribution Margin,Metrics,Intermediate,"Revenue minus variable costs","Contribution margin shows how much revenue contributes to fixed costs and profit after covering variable costs. It's essential for breakeven analysis and pricing decisions.","Contribution Margin = Revenue - Variable Costs","A product sells for $100, variable costs are $40. Contribution margin = $100 - $40 = $60 (60%).","gross-margin, unit-economics, break-even, variable-costs",420
break-even-analysis,Break-Even Analysis,Analysis,Intermediate,"Determining when total revenues equal total costs","Break-even analysis identifies the sales volume at which a business neither makes profit nor incurs loss. It's crucial for pricing and investment decisions.","Break-Even Units = Fixed Costs ÷ (Price - Variable Cost per Unit)","A company has $50K fixed costs, sells products at $100 with $40 variable cost. Break-even = $50K ÷ ($100 - $40) = 834 units.","contribution-margin, fixed-costs, variable-costs, unit-economics",380
fixed-costs,Fixed Costs,Accounting,Beginner,"Costs that don't change with production volume","Fixed costs remain constant regardless of production or sales levels. Examples include rent, salaries, insurance.","N/A - Concept","A company pays $10K/month rent, $50K/month salaries, $2K/month insurance. Total fixed costs = $62K/month regardless of sales.","variable-costs, contribution-margin, break-even-analysis",520
variable-costs,Variable Costs,Accounting,Beginner,"Costs that change proportionally with production volume","Variable costs fluctuate with production levels. Examples include raw materials, direct labor, sales commissions.","N/A - Concept","A product has $20 material cost, $10 labor cost, $5 commission per unit. Total variable cost = $35/unit.","fixed-costs, contribution-margin, cogs, unit-economics",480
unit-economics,Unit Economics,Metrics,Intermediate,"Revenues and costs associated with a single unit","Unit economics analyzes the direct revenues and costs associated with a single customer or product unit. Positive unit economics is essential for scalability.","N/A - Framework","A SaaS customer pays $1,200/year, costs $500 to acquire, $300/year to serve. Gross profit per customer = $1,200 - $300 = $900/year.","cac, ltv, cac-ltv-ratio, contribution-margin",440
rule-of-40,Rule of 40,Metrics,Advanced,"Growth rate plus profit margin should exceed 40%","The Rule of 40 is a performance benchmark for SaaS companies stating that revenue growth rate plus profit margin should be at least 40%.","Rule of 40 = Revenue Growth Rate % + Profit Margin %","A SaaS company grows 30% and has 15% EBITDA margin. Rule of 40 = 30% + 15% = 45%, exceeding the 40% benchmark.","saas-metrics, revenue-growth, ebitda, profitability",380
magic-number,Magic Number,Metrics,Advanced,"Sales efficiency metric for SaaS companies","The Magic Number measures sales efficiency by comparing net new ARR to sales and marketing spend. A Magic Number >1.0 indicates efficient growth.","Magic Number = Net New ARR (Quarter) ÷ Sales & Marketing Spend (Prior Quarter)","A company added $1M net new ARR in Q2, spent $800K on sales & marketing in Q1. Magic Number = $1M ÷ $800K = 1.25.","cac, arr, sales-efficiency, saas-metrics",320
cac-payback-period,CAC Payback Period,Metrics,Intermediate,"Time to recover customer acquisition costs","CAC payback period measures how many months it takes to recover the cost of acquiring a customer through their gross profit.","CAC Payback (months) = CAC ÷ (ARPU × Gross Margin %)","A customer costs $1,200 to acquire, pays $100/month, gross margin is 80%. Payback = $1,200 ÷ ($100 × 80%) = 15 months.","cac, ltv, arr, unit-economics",290
accounts-receivable,Accounts Receivable,Accounting,Beginner,"Money owed by customers for goods or services delivered","Accounts receivable (A/R) represents outstanding invoices and customer debts. Managing A/R is crucial for cash flow.","N/A - Balance sheet account","A company invoiced $100K in December but only collected $70K. A/R balance is $30K.","days-sales-outstanding, working-capital, cash-flow",580
accounts-payable,Accounts Payable,Accounting,Beginner,"Money owed to suppliers for goods or services received","Accounts payable (A/P) represents unpaid supplier invoices and vendor obligations. Managing A/P affects working capital and vendor relationships.","N/A - Balance sheet account","A company received $50K in supplies but only paid $30K. A/P balance is $20K.","days-payable-outstanding, working-capital, cash-flow",520
depreciation,Depreciation,Accounting,Intermediate,"Allocation of asset cost over its useful life","Depreciation systematically reduces the book value of tangible assets over time. It's a non-cash expense affecting EBITDA and taxable income.","Straight-line: Annual Depreciation = (Cost - Salvage Value) ÷ Useful Life","A $50K vehicle with $5K salvage value over 5 years. Annual depreciation = ($50K - $5K) ÷ 5 = $9K/year.","ebitda, amortization, fixed-assets, non-cash-expense",620
amortization,Amortization,Accounting,Intermediate,"Allocation of intangible asset cost over its useful life","Amortization is the systematic write-off of intangible assets (patents, software, customer relationships) over their useful lives.","Annual Amortization = Intangible Asset Cost ÷ Useful Life","A $100K software license with 5-year life. Annual amortization = $100K ÷ 5 = $20K/year.","depreciation, ebitda, intangible-assets, non-cash-expense",540
cash-flow-statement,Cash Flow Statement,Financial Statements,Intermediate,"Statement showing cash inflows and outflows","The cash flow statement reports actual cash movements in three categories: operating, investing, and financing activities. It's essential for liquidity analysis.","N/A - Financial statement","Operating: +$200K, Investing: -$50K (equipment), Financing: +$100K (loan). Net cash flow = +$250K.","three-statement-model, working-capital, free-cash-flow",480
free-cash-flow,Free Cash Flow,Metrics,Advanced,"Cash generated after capital expenditures","Free cash flow (FCF) is operating cash flow minus capital expenditures. It represents cash available for debt repayment, dividends, or reinvestment.","FCF = Operating Cash Flow - Capital Expenditures","A company generates $500K operating cash flow, spends $150K on equipment. FCF = $500K - $150K = $350K.","cash-flow-statement, ebitda, working-capital, valuation",560
revenue-recognition,Revenue Recognition,Accounting,Intermediate,"When and how revenue is recorded in financial statements","Revenue recognition principles determine timing and amount of revenue recording. Under ASC 606, revenue is recognized when control transfers to customer.","N/A - Accounting principle","A SaaS company sells a $12K annual subscription. Under ASC 606, revenue is recognized ratably at $1K/month, not all upfront.","arr, deferred-revenue, financial-statements",420
deferred-revenue,Deferred Revenue,Accounting,Intermediate,"Payment received before service is delivered","Deferred revenue (unearned revenue) is a liability representing customer payments for future goods or services. It's crucial for SaaS and subscription models.","N/A - Balance sheet liability","A customer pays $12K for an annual subscription upfront. Initially $12K deferred revenue, recognized $1K/month as earned.","revenue-recognition, arr, balance-sheet, saas-metrics",380
cohort-analysis,Cohort Analysis,Analysis,Advanced,"Analyzing groups of customers over time","Cohort analysis groups customers by common characteristics (signup date, acquisition channel) and tracks their behavior over time to understand patterns.","N/A - Analysis framework","Analyzing customers acquired in Q1 2024: Month 1 retention 95%, Month 3 85%, Month 6 78%, showing retention curve.","churn-rate, ltv, retention-rate, customer-analysis",340
customer-lifetime,Customer Lifetime,Metrics,Intermediate,"Expected duration of customer relationship","Customer lifetime measures how long a customer typically remains a customer. It's used to calculate LTV and evaluate retention.","Average Customer Lifetime = 1 ÷ Churn Rate","A company has 5% monthly churn. Average customer lifetime = 1 ÷ 5% = 20 months.","ltv, churn-rate, retention-rate, unit-economics",310
revenue-growth-rate,Revenue Growth Rate,Metrics,Beginner,"Percentage increase in revenue over a period","Revenue growth rate measures the speed of revenue increase, typically year-over-year or quarter-over-quarter. It's a key indicator of business momentum.","Growth Rate = ((Current Revenue - Prior Revenue) ÷ Prior Revenue) × 100","A company had $1M revenue last year, $1.3M this year. Growth rate = (($1.3M - $1M) ÷ $1M) × 100 = 30%.","revenue, arr, yoy-growth, saas-metrics",620
yoy-growth,YoY (Year-over-Year) Growth,Metrics,Beginner,"Comparing performance to the same period last year","YoY growth compares a metric to the same period in the previous year, eliminating seasonal effects and showing true annual growth trends.","YoY Growth = ((Current Year - Prior Year) ÷ Prior Year) × 100","Q3 2024 revenue was $500K vs Q3 2023 revenue of $400K. YoY growth = (($500K - $400K) ÷ $400K) × 100 = 25%.","revenue-growth-rate, qoq-growth, financial-performance",450
balance-sheet,Balance Sheet,Financial Statements,Beginner,"Statement of assets, liabilities, and equity at a point in time","The balance sheet reports a company's financial position showing what it owns (assets), owes (liabilities), and shareholder equity at a specific date.","Assets = Liabilities + Equity","A company has $1M assets ($600K cash, $400K equipment), $400K liabilities, $600K equity. Assets ($1M) = Liabilities ($400K) + Equity ($600K).","three-statement-model, working-capital, assets, liabilities",720
income-statement,Income Statement,Financial Statements,Beginner,"Statement of revenues, expenses, and profit over a period","The income statement reports financial performance over a period, showing revenues, expenses, and resulting profit or loss.","Net Income = Revenue - Expenses","A company earned $1M revenue, incurred $700K expenses. Net income = $1M - $700K = $300K.","three-statement-model, revenue, net-income, profitability",680
financial-model,Financial Model,Financial Modeling,Intermediate,"Spreadsheet representation of business financials","A financial model is a tool built in Excel or software that projects future financial performance based on assumptions, historical data, and business drivers.","N/A - Tool/framework","A 5-year SaaS financial model projects ARR growth, hiring plans, unit economics, resulting in forecasted income statement, balance sheet, cash flow.","three-statement-model, scenario-planning, forecasting",580
capital-expenditure,Capital Expenditure (CapEx),Accounting,Intermediate,"Investment in long-term assets","Capital expenditures are funds spent to acquire, upgrade, or maintain physical assets like property, equipment, or technology. CapEx is capitalized, not expensed.","N/A - Accounting concept","A company spends $100K on new servers (CapEx, capitalized and depreciated) vs $10K on cloud hosting (OpEx, expensed immediately).","depreciation, free-cash-flow, operating-expense, fixed-assets",440
operating-expense,Operating Expense (OpEx),Accounting,Beginner,"Day-to-day costs of running a business","Operating expenses are ongoing costs for running a business, including salaries, rent, utilities, marketing. OpEx is expensed immediately unlike CapEx.","N/A - Accounting concept","A company's monthly OpEx: $50K salaries, $10K rent, $15K marketing, $5K utilities = $80K total.","ebitda, operating-margin, capital-expenditure, income-statement",520
